name,final_multiple,cagr,maxdd,trades,exits,win_rate,profit_exits,hard_stops,trail_stops,sma_exits,in_position_end
p8% hard5.0% trail8% rsiNone,5.615401783250666,0.11605321845119398,-0.49469736050981095,659,329,0.44072948328267475,136,111,82,0,True
LIVE + QQQ EMA21 slope5 > 0,5.531378015015872,0.11498306540805014,-0.4415713953804692,283,141,0.5602836879432624,79,46,14,2,True
LIVE + ADX18 and EMA21 slope,5.3734926848488325,0.1129303529092609,-0.3654832277045328,255,127,0.5669291338582677,72,43,10,2,True
p6% hard5.0% trail8% rsi70,5.238692676327156,0.11113258442585683,-0.6026903369969141,665,332,0.49698795180722893,160,114,58,0,True
p15% hard7.5% trail8% rsi60,5.21401760603824,0.11079882059748125,-0.544903050620626,425,212,0.41509433962264153,55,40,116,1,True
p15% hard10.0% trail8% rsi60,5.21401760603824,0.11079882059748125,-0.544903050620626,425,212,0.41509433962264153,55,10,146,1,True
p8% hard5.0% trail10% rsi60,5.198904090684297,0.11059365864566506,-0.5195105999308329,489,244,0.4713114754098361,113,106,25,0,True
p8% hard5.0% trail8% rsi65,5.067074169433757,0.10878003906263611,-0.5369838218002727,573,286,0.4370629370629371,118,97,71,0,True
p10% hard5.0% trail8% rsi60,4.841804254038931,0.10557613841279734,-0.5239796595127061,503,251,0.4103585657370518,91,87,73,0,True
p6% hard7.5% trail8% rsi65,4.797941608016713,0.10493610376577767,-0.5982375690536252,597,298,0.5067114093959731,147,46,104,1,True
p6% hard10.0% trail8% rsi65,4.797941608016713,0.10493610376577767,-0.5982375690536252,597,298,0.5067114093959731,147,13,137,1,True
p6% hard10.0% trail12% rsi55,4.5287029719204535,0.10088306845085038,-0.5369854731340086,371,185,0.6324324324324324,117,32,33,3,True
p8% hard7.5% trail8% rsi65,4.468306152316901,0.09994294161717887,-0.5883650744771429,553,276,0.44565217391304346,116,44,115,1,True
p8% hard10.0% trail8% rsi65,4.468306152316901,0.09994294161717887,-0.5883650744771429,553,276,0.44565217391304346,116,11,148,1,True
p12% hard7.5% trail8% rsi65,4.3902748724437295,0.09871054392428658,-0.58739387059909,485,242,0.4132231404958678,76,45,120,1,True
p12% hard10.0% trail8% rsi65,4.3902748724437295,0.09871054392428658,-0.58739387059909,485,242,0.4132231404958678,76,10,155,1,True
p10% hard7.5% trail8% rsi55,4.337280621034049,0.09786182222359652,-0.5603876290060108,439,219,0.4337899543378995,85,38,95,1,True
p10% hard10.0% trail8% rsi55,4.337280621034049,0.09786182222359652,-0.5603876290060108,439,219,0.4337899543378995,85,9,124,1,True
p6% hard5.0% trail10% rsi60,4.323290015424482,0.09763613771344737,-0.4847127428209347,535,267,0.5280898876404494,139,110,18,0,True
p12% hard7.5% trail8% rsi60,4.313875227254029,0.09748388112360318,-0.5251211547415645,459,229,0.4148471615720524,73,41,114,1,True
p12% hard10.0% trail8% rsi60,4.313875227254029,0.09748388112360318,-0.5251211547415645,459,229,0.4148471615720524,73,10,145,1,True
p10% hard7.5% trail8% rsi60,4.299308097965246,0.09724768626561886,-0.5782747127629098,489,244,0.42213114754098363,91,42,110,1,True
p10% hard10.0% trail8% rsi60,4.299308097965246,0.09724768626561886,-0.5782747127629098,489,244,0.42213114754098363,91,10,142,1,True
p15% hard5.0% trail8% rsi60,4.294421481904508,0.09716828565013902,-0.514880114424478,437,218,0.39908256880733944,53,79,86,0,True
p12% hard5.0% trail8% rsi60,4.220580048641634,0.09595805481634989,-0.506769038690881,473,236,0.4025423728813559,73,88,75,0,True
p12% hard5.0% trail8% rsi65,4.13578614160217,0.09454361670163491,-0.5601740715781641,501,250,0.4,76,93,81,0,True
p15% hard5.0% trail8% rsi55,4.127651993907991,0.09440650781261262,-0.551300414370069,401,200,0.4,51,73,76,0,True
p12% hard7.5% trail8% rsi55,4.059113975304736,0.09324108109743245,-0.599547582572936,413,206,0.41262135922330095,68,36,101,1,True
p12% hard10.0% trail8% rsi55,4.059113975304736,0.09324108109743245,-0.599547582572936,413,206,0.41262135922330095,68,9,128,1,True
p6% hard5.0% trail10% rsi55,3.980710856027268,0.09188509474556472,-0.5078542243031772,473,236,0.538135593220339,125,94,17,0,True
p10% hard5.0% trail10% rsi65,3.8278501953894843,0.08916787645639213,-0.49509425930991235,469,234,0.41452991452991456,93,104,37,0,True
p8% hard7.5% trail8% rsi55,3.7739855055231177,0.08818612783429991,-0.5228451137945249,459,229,0.44541484716157204,99,36,93,1,True
p8% hard10.0% trail8% rsi55,3.7739855055231177,0.08818612783429991,-0.5228451137945249,459,229,0.44541484716157204,99,8,121,1,True
LIVE + macro strict,3.767676233438075,0.08807027659004474,-0.45564491096570026,239,119,0.5462184873949579,65,40,12,2,True
p10% hard5.0% trail8% rsi65,3.6742457836353823,0.08633309788409727,-0.5087304440359841,527,263,0.40304182509505704,93,91,79,0,True
p8% hard5.0% trail8% rsi55,3.3979033105580627,0.0809416078184566,-0.4994428199423696,471,235,0.4340425531914894,99,83,53,0,True
p10% hard7.5% trail8% rsi65,3.355460469828324,0.08007738265005249,-0.49120751180615685,511,255,0.41568627450980394,93,42,119,1,True
p10% hard10.0% trail8% rsi65,3.355460469828324,0.08007738265005249,-0.49120751180615685,511,255,0.41568627450980394,93,12,149,1,True
p10% hard5.0% trail8% rsi55,3.0827398712203533,0.07426698546931498,-0.5500572992506554,449,224,0.41517857142857145,82,84,58,0,True
p8% hard5.0% trail8% rsi60,2.891904179976349,0.06990752056985872,-0.5028444207935563,533,266,0.42857142857142855,109,96,61,0,True
p6% hard5.0% trail10% rsi65,2.767107868418943,0.06690851874555626,-0.5549674285366231,591,295,0.511864406779661,149,120,26,0,True
p6% hard5.0% trail8% rsi65,2.610716429116821,0.06296611846347355,-0.5684716288414742,621,310,0.4806451612903226,145,104,61,0,True
p8% hard7.5% trail8% rsi60,2.555461111273139,0.06152016767355817,-0.575572583650504,515,257,0.4357976653696498,107,44,105,1,True
p8% hard10.0% trail8% rsi60,2.555461111273139,0.06152016767355817,-0.575572583650504,515,257,0.4357976653696498,107,10,139,1,True
p12% hard5.0% trail8% rsi55,2.299914205267921,0.05442715275950105,-0.5848522140428942,423,211,0.3933649289099526,65,81,65,0,True
p6% hard5.0% trail8% rsi60,2.094500477263385,0.0481685431428156,-0.5423319432174183,563,281,0.4804270462633452,130,95,56,0,True
p6% hard7.5% trail8% rsi55,2.053720394216397,0.04685794961318401,-0.6105138133695536,483,241,0.4854771784232365,114,36,90,1,True
p6% hard10.0% trail8% rsi55,2.053720394216397,0.04685794961318401,-0.6105138133695536,483,241,0.4854771784232365,114,8,118,1,True
p6% hard5.0% trail8% rsi55,1.7030575840043587,0.03445994310898559,-0.5635239555696205,499,249,0.4738955823293173,115,83,51,0,True
p6% hard7.5% trail8% rsi60,1.6708005753792654,0.0332019788219462,-0.5980875906750899,539,269,0.48698884758364314,126,43,99,1,True
p6% hard10.0% trail8% rsi60,1.6708005753792654,0.0332019788219462,-0.5980875906750899,539,269,0.48698884758364314,126,10,132,1,True
